,,,h_norm,h_norm,silhouette,silhouette,time,time
,,,mean,std,mean,std,mean,std
dataset,method,lambda,,,,,,
heart_disease,ER-K-Means,0.5,0.9615,0.0109,0.171,0.002,0.0043,0.0014
heart_disease,ER-K-Means,1.0,0.9613,0.0107,0.171,0.002,0.0042,0.0014
heart_disease,ER-K-Means,2.0,0.9608,0.0107,0.1711,0.002,0.0044,0.0014
heart_disease,GMM-Dirichlet,0.0,0.938,0.0015,0.12,0.0002,0.1315,0.0289
heart_disease,K-Means,0.0,0.9563,0.0007,0.1719,0.0002,0.0502,0.0364
iris,ER-K-Means,0.5,0.9691,0.0732,0.4628,0.0105,0.0045,0.0011
iris,ER-K-Means,1.0,0.9691,0.0732,0.4628,0.0105,0.0046,0.0011
iris,ER-K-Means,2.0,0.969,0.0732,0.4629,0.0105,0.0051,0.0012
iris,GMM-Dirichlet,0.0,0.9999,0.0,0.4562,0.0006,0.0284,0.0033
iris,K-Means,0.0,0.9986,0.0009,0.4592,0.0009,0.0098,0.0053
syn_2c_imbalance_95,ER-K-Means,0.5,0.857,0.2902,0.4486,0.1303,0.0063,0.003
syn_2c_imbalance_95,ER-K-Means,1.0,0.857,0.2902,0.4486,0.1303,0.007,0.0035
syn_2c_imbalance_95,ER-K-Means,2.0,0.857,0.2902,0.4486,0.1303,0.0062,0.003
syn_2c_imbalance_95,GMM-Dirichlet,0.0,0.2887,0.0125,0.7034,0.0086,0.1219,0.0277
syn_2c_imbalance_95,K-Means,0.0,0.3102,0.1303,0.6943,0.0585,0.0344,0.0295
syn_3c_imbalance_60,ER-K-Means,0.5,0.8555,0.0518,0.808,0.0619,0.0033,0.0011
syn_3c_imbalance_60,ER-K-Means,1.0,0.8555,0.0518,0.808,0.0619,0.0033,0.0012
syn_3c_imbalance_60,ER-K-Means,2.0,0.8555,0.0518,0.808,0.0619,0.0033,0.0013
syn_3c_imbalance_60,GMM-Dirichlet,0.0,0.865,0.0,0.8193,0.0,0.064,0.0271
syn_3c_imbalance_60,K-Means,0.0,0.865,0.0,0.8193,0.0,0.0329,0.0298
syn_3c_imbalance_70,ER-K-Means,0.5,0.7275,0.0676,0.7976,0.0677,0.0034,0.0011
syn_3c_imbalance_70,ER-K-Means,1.0,0.7275,0.0676,0.7976,0.0677,0.0032,0.0011
syn_3c_imbalance_70,ER-K-Means,2.0,0.7275,0.0676,0.7976,0.0677,0.0037,0.0014
syn_3c_imbalance_70,GMM-Dirichlet,0.0,0.7453,0.0,0.8154,0.0,0.0573,0.0263
syn_3c_imbalance_70,K-Means,0.0,0.7453,0.0,0.8154,0.0,0.0391,0.0319
syn_3c_imbalance_80,ER-K-Means,0.5,0.5943,0.0691,0.7969,0.0829,0.004,0.0015
syn_3c_imbalance_80,ER-K-Means,1.0,0.5943,0.0691,0.7969,0.0829,0.0041,0.0016
syn_3c_imbalance_80,ER-K-Means,2.0,0.5943,0.0691,0.7969,0.0829,0.0043,0.0015
syn_3c_imbalance_80,GMM-Dirichlet,0.0,0.5817,0.0,0.812,0.0,0.0574,0.0252
syn_3c_imbalance_80,K-Means,0.0,0.5817,0.0,0.812,0.0,0.0382,0.03
syn_3c_imbalance_90,ER-K-Means,0.5,0.3758,0.0921,0.7927,0.0773,0.0054,0.002
syn_3c_imbalance_90,ER-K-Means,1.0,0.3758,0.0921,0.7927,0.0773,0.0057,0.0023
syn_3c_imbalance_90,ER-K-Means,2.0,0.3758,0.0921,0.7927,0.0773,0.0058,0.0018
syn_3c_imbalance_90,GMM-Dirichlet,0.0,0.359,0.0,0.8068,0.0,0.058,0.0234
syn_3c_imbalance_90,K-Means,0.0,0.359,0.0,0.8068,0.0,0.041,0.0311
wine,ER-K-Means,0.5,0.994,0.0014,0.283,0.0022,0.0049,0.0011
wine,ER-K-Means,1.0,0.994,0.0014,0.283,0.0022,0.0052,0.0013
wine,ER-K-Means,2.0,0.994,0.0014,0.283,0.0022,0.0051,0.001
wine,GMM-Dirichlet,0.0,0.9818,0.0,0.2719,0.0,0.033,0.0042
wine,K-Means,0.0,0.9952,0.0001,0.2849,0.0002,0.0087,0.0008
